	file name	nchannels	sampwidth	framerate	nframes	comptype	compname
0	01 - tank! (tv stretch).wav	2	2	44100	9138816	NONE	not compressed
1	04 - diamonds.wav	2	2	44100	10653696	NONE	not compressed
2	07 - mushroom hunting.wav	2	2	44100	8802432	NONE	not compressed
3	10 - einstein groovin'.wav	2	2	44100	16752384	NONE	not compressed
4	08 - no reply.wav	2	2	44100	15879168	NONE	not compressed
5	06 - piano black.wav	2	2	44100	7406208	NONE	not compressed
6	03 - cosmic dare (pretty with a pistol).wav	2	2	44100	10975104	NONE	not compressed
7	11 - pearls.wav	2	2	44100	12553344	NONE	not compressed
8	09 - blue.wav	2	2	44100	13428864	NONE	not compressed
9	12 - gotta knock a little harder.wav	2	2	44100	14118912	NONE	not compressed
10	02 - what planet is this..wav	2	2	44100	7261056	NONE	not compressed
11	05 - don't bother none (tv edit).wav	2	2	44100	7741440	NONE	not compressed
